F93 B174 B987 , 1792, 2143
F2 B151 B108 B15 B324 B635 B594 B550 , 1638, 2421
F34 B165 B301 B275 B718 B640 B757 , 14, 14
F31 B111 B673 , 1190, 1250
F42 B437 B654 , 41, 1866
F2 B244 B505 B782 , 26, 55
F90 B204 B370 B273 B562 , 1, 38
F87 B512 B141 B757 , 8, 275
F45 B835 B744 B264 , 34, 36
F74 B207 B49 , 1, 3
F29 B261 B869 B405 B322 B631 B652 , 11, 26
F60 B946 B6 B147 B912 B585 , 36, 1975
F58 B826 B526 , 1, 3
F14 B837 B116 , 17, 17
F48 B687 B869 B510 , 11, 21
F93 B75 B619 , 44, 45
F26 B466 B849 B780 , 10, 21
F20 B142 B128 B835 B124 , 1, 7
F55 B666 B774 , 1612, 1955
F28 B711 B650 B538 , 14, 14
F74 B657 B527 B207 , 1, 5
F64 B211 B191 , 571, 657
F80 B339 B326 B592 , 14, 14
F48 B687 B869 , 11, 11
F77 B70 B19 B513 B662 , 1, 9
F31 B202 B48 B871 B438 , 15, 15
F48 B1000 B341 B841 B268 , 10, 21
F74 B288 B438 B102 B840 B68 , 7, 10
F48 B891 B527 , 1, 28
F80 B507 B578 B911 , 14, 627
F47 B329 B24 B514 B135 B427 , 1, 1713
F20 B726 B763 B755 B579 B255 B507 B630 , 571, 836
F5 B501 B995 B741 B257 B264 B13 , 480, 674
F2 B635 B77 B785 B230 , 26, 1800
F62 B887 B102 B748 , 571, 683
F48 B1000 B341 B841 B268 B704 , 10, 21
F74 B244 B288 , 7, 8
F60 B137 B390 B678 , 36, 74
F29 B286 B369 B153 , 11, 23
F58 B335 B6 B329 , 1, 1
F37 B948 B331 B85 B344 , 28, 28
F64 B687 B761 , 10, 11
F5 B995 B741 B257 , 480, 581
F48 B811 B113 , 571, 665
F24 B198 B396 , 19, 19
F47 B24 B514 , 1, 23
F77 B864 B20 B767 , 27, 30
F42 B437 B625 , 41, 1863
F60 B946 B6 B147 B912 , 36, 1975
F96 B235 B818 B482 , 41, 42
F2 B397 B430 B814 , 26, 54
F2 B594 B358 , 1, 433
F2 B417 B534 B480 B295 B695 , 26, 81
F90 B229 B309 B204 B370 B273 , 1, 1803
F10 B81 B192 B987 , 1825, 2305
F14 B588 B615 , 571, 704
F34 B448 B444 B165 B301 B275 B718 B640 B757 B472 , 14, 1176
F34 B886 B536 B834 B16 B970 , 14, 28
F24 B179 B956 , 20, 20
F97 B57 B897 B9 , 15, 16
F2 B381 B635 B77 B785 B230 B153 B299 , 26, 1855
F75 B37 B209 , 31, 31
F27 B608 B292 B183 , 803, 981
F14 B615 B927 , 571, 703
F26 B51 B190 B636 B500 , 540, 697
F10 B987 B35 , 1825, 2121
F5 B257 B887 B556 B963 B604 B521 B364 , 1, 2017
F5 B961 B834 B589 B669 B388 B793 , 8, 530
F80 B507 B768 B115 B884 B917 B350 , 571, 906
F60 B147 B912 , 36, 37
F80 B578 B911 B181 , 14, 15
F82 B143 B902 , 12, 25
F77 B286 B607 B401 B826 , 27, 28
F47 B233 B667 B558 , 22, 25
F74 B564 B926 B989 , 7, 15
F62 B865 B773 B475 B312 , 9, 12
F26 B209 B610 B967 B331 , 10, 584
F37 B680 B547 B462 B529 B647 B495 , 28, 1120
F16 B615 B33 B284 B930 , 16, 16
F47 B24 B514 B135 B427 B366 B290 , 1, 70
F20 B578 B67 , 9, 18
F20 B267 B92 B60 B560 B578 , 9, 627
F77 B173 B359 B286 B607 B401 , 27, 1724
F25 B429 B608 , 18, 18
F47 B24 B514 B135 B427 B366 B290 B595 , 1, 71
F37 B680 B547 , 28, 1120
F100 B437 B837 B621 , 39, 3991
F62 B976 B430 B96 B398 , 571, 721
F26 B869 B302 , 10, 20
F5 B961 B370 B729 B451 , 8, 522
F97 B996 B956 , 15, 31
F5 B501 B995 B741 B257 , 480, 628
F6 B472 B280 B502 , 1, 1
F74 B889 B931 B14 B657 B527 B207 , 1, 7
F58 B117 B887 , 25, 26
F45 B691 B859 B832 B358 B841 , 34, 1834
F5 B961 B879 B263 B251 B609 B963 B848 B447 B622 , 8, 523
F74 B410 B381 , 6, 332
F77 B173 B766 B829 , 27, 1723
F23 B529 B908 B655 B18 , 1544, 2067
F97 B167 B460 B57 B897 , 15, 571
F29 B852 B490 , 540, 631
F48 B625 B2 , 10, 20
F25 B897 B38 B290 B902 , 512, 656
F5 B879 B263 B251 B609 , 8, 11
F5 B149 B136 B270 B354 B793 , 8, 19
F82 B147 B10 B329 , 12, 24
F64 B658 B465 , 10, 13
F23 B507 B201 , 33, 34
F47 B259 B625 B243 B122 B821 B622 , 22, 1694
F82 B396 B513 , 12, 26
F28 B811 B860 , 13, 26
F5 B609 B963 B848 B447 , 8, 25
F58 B875 B826 B526 B335 , 1, 3
F74 B288 B438 B102 B840 B68 B767 , 7, 335
F37 B529 B647 B495 , 28, 28
F77 B952 B712 , 27, 29
F87 B505 B112 , 7, 7
F26 B721 B621 B951 B869 B302 , 10, 21
F62 B793 B454 B210 B848 B771 , 9, 12
F55 B896 B143 B249 B543 , 43, 43
F23 B120 B878 B2 , 32, 71
F5 B556 B963 B604 B521 B364 , 1, 90
F97 B53 B996 , 15, 32
F5 B604 B521 B364 B668 , 1, 8
F42 B547 B284 B257 , 41, 41
F96 B424 B786 , 41, 43
F23 B928 B996 B254 B872 , 33, 68
F48 B841 B268 B704 , 10, 21
F58 B470 B518 B968 , 1, 22
F90 B176 B497 , 13, 13
F24 B602 B198 B396 B831 B380 B6 B170 B454 , 19, 1027
F14 B615 B725 B49 , 16, 638
F18 B844 B385 , 10, 10
F93 B547 B784 B681 , 43, 1966
F20 B560 B578 , 9, 28
F20 B137 B519 B824 B610 B142 , 1, 3
F26 B78 B679 B225 B567 , 10, 31
F23 B397 B480 , 33, 35
F62 B533 B607 B193 , 1, 1661
F14 B953 B3 B995 B859 , 17, 654
F74 B345 B29 B851 B935 , 6, 6
F82 B113 B309 B655 B381 , 571, 763
F62 B887 B506 B592 B292 B853 B37 B252 , 10, 628
F26 B331 B538 B466 , 10, 23
F96 B926 B376 , 41, 41
F18 B926 B676 B737 B35 B200 B127 B992 , 1, 1730
F62 B723 B514 B680 B388 B448 , 1, 2
F60 B946 B267 B371 , 1792, 2229
F16 B683 B816 B91 , 15, 16
F26 B209 B575 B51 B190 B636 B500 B828 , 540, 818
F96 B825 B99 , 41, 43
F34 B275 B718 B640 B757 , 14, 14
F20 B267 B726 B763 B755 B579 , 571, 762
F74 B410 B960 B889 B931 B14 B657 , 1, 1757
F14 B953 B3 , 17, 654
F62 B107 B632 B11 B723 B514 B680 , 1, 12
F90 B955 B124 , 14, 27
F39 B601 B583 , 28, 1176
F96 B602 B170 , 41, 1773
F37 B680 B504 , 28, 1120
F25 B470 B544 B646 B689 B895 B680 B654 , 18, 566
F62 B102 B77 B738 B335 B353 B208 B533 , 1, 1701
F74 B14 B657 B527 B207 , 1, 6
F77 B826 B687 , 27, 27
F74 B827 B338 B638 B345 B29 B851 B935 B696 , 6, 324
F2 B388 B908 B165 , 26, 28
F48 B302 B517 , 571, 653
F18 B529 B817 B643 , 11, 554
F87 B141 B757 , 8, 8
F60 B267 B371 , 1792, 2083
F20 B128 B835 B124 , 1, 7
F75 B16 B37 B209 B622 , 31, 557
F25 B902 B153 B269 , 512, 620
F14 B360 B391 , 16, 18
F47 B572 B559 , 22, 22
F2 B244 B505 B782 B388 , 26, 55
F26 B610 B967 , 10, 11
F42 B547 B284 , 41, 41
F82 B529 B113 B309 B655 , 571, 765
F6 B245 B417 , 14, 28
F100 B33 B452 B522 B768 , 39, 39
F18 B172 B951 , 11, 11
F6 B729 B462 B960 , 14, 536
F58 B550 B117 B887 B227 , 25, 53
F26 B209 B431 B922 B721 B621 , 10, 591
F77 B504 B743 B731 , 27, 29
